Claim_ID,Claim_Date,Customer_ID,Annual_Income,Claim_Amount,Claim_Type,Suspicious_Flags,Fraud_Label
1fe41e0c-d581-4cd1-915b-2fb8e62ed263,2022-06-28,7c2d00ef,141958.0,1446.25,Life,0,0
42e0238e-d9b0-4a77-b7f0-6c498f434dbb,2023-01-05,944292e8,35795.0,24103.75,Auto,0,0
155d75a7-db6d-434f-a7c0-69676f5e489b,2024-10-21,af59bf1d,20860.0,34542.24,Life,0,0
06dbf1c6-c25c-4619-8483-5463b5dd7fd5,2022-11-24,15acd80d,123694.0,36273.99,Medical,0,0
60c6f8d7-3756-4cdc-99f3-d7269ea873e8,2024-11-23,fdca29ba,148106.0,34780.36,Auto,0,0
db3bb081-88a1-46e5-9172-67fa7dea5df0,2022-12-20,37cdd9d5,139879.0,7154.54,Medical,0,0
a11981a0-9adf-41f8-b778-bf11f3210236,2023-01-04,07cd01f7,130268.0,15320.08,Home,1,0
4c914db6-a3c9-4503-96b5-b8c518f5fe65,2024-09-07,892f8028,96820.0,18256.42,Life,0,0
64b4e5c3-0a1f-474a-a4be-90496ae1e5dc,2022-05-20,71e4062b,74886.0,40319.64,Home,0,0
74a132ca-2b4b-4225-97b9-6df06247dc81,2023-08-03,ae786340,26265.0,14298.61,Auto,0,0
13797aff-a242-4772-9091-579e1db34ee8,2022-05-16,9006dd4b,102386.0,10929.9,Medical,1,0
acb2c319-f904-4bcc-850a-34137e8a05db,2024-03-05,821758e0,148214.0,47893.68,Auto,1,0
5057dd8e-dba7-4054-b496-b7d250681d76,2024-07-20,3c2544f8,57194.0,938.73,Home,0,0
8de9dc50-f82a-4de0-823f-a1b970cb5056,2023-01-15,0b55d77b,107498.0,49892.13,Life,0,0
fd144e80-e37c-45ef-90d0-9a454e79a925,2024-03-29,91daab69,132727.0,34002.65,Life,0,0
6ec539c4-a393-44cb-b30f-901318419063,2024-01-13,61722f4f,146324.0,41509.23,Auto,1,1
93da00ed-b611-4081-a6af-14fc05e9f950,2023-12-08,fc262833,64131.0,15083.66,Auto,1,0
8e90965a-8167-4967-985f-bf7acb74ba81,2023-12-14,50334f96,80263.0,1208.61,Medical,1,1
a1f92a9a-7f0c-48a3-87be-56c82b9d6dbd,2022-04-07,e51ad751,36023.0,37024.54,Home,0,0
daa56256-79e5-4def-87e1-d114157d688b,2022-06-29,498debfe,61090.0,41790.16,Auto,0,0
c96352df-ecb9-42e5-b02f-6eb4d9ffda02,2023-02-13,47ce5a1f,87221.0,37153.57,Medical,1,0
e6ebf484-4e55-4dc2-b971-bd96a1248db1,2024-12-04,1e6c78e9,84820.0,7571.09,Auto,0,0
99e94fd1-8cf0-4d51-bdb7-996bc5510261,2023-09-14,19ddb02a,20769.0,37794.68,Life,0,0
71c81cf5-5d23-4727-9868-70641319680a,2023-05-20,121bca07,79735.0,38561.68,Medical,0,0
64bb5802-6a4e-4dfe-a112-440fe4dd4877,2022-04-24,47e7fd85,82955.0,33097.76,Medical,1,0
9fc272c8-fd1a-407a-aa9e-8147041cfbc3,2022-08-29,03489f56,84925.0,38422.74,Auto,0,0
